# Pose trace — myrmidon / idle_spear
# anim=idle  length=2.000s

## Per-frame numeric pose (sprite-local coords; feet at (0,0), +x right, -y up)
frame | t     | wpn° | R_hand        | L_hand        | R_elbow       | L_elbow       | tip           | butt
------+-------+------+---------------+---------------+---------------+---------------+---------------+--------------
    0 | 0.000 |   +0 | ( +9.0,-24.2) | ( -9.0,-24.2) | ( +9.0,-34.2) | ( -9.0,-34.2) | (+54.0,-24.2) | (-16.0,-25.2)
    1 | 0.182 |   +0 | ( +9.0,-24.3) | ( -9.0,-24.3) | ( +9.0,-34.3) | ( -9.0,-34.3) | (+54.0,-24.3) | (-16.0,-25.3)
    2 | 0.364 |   +0 | ( +9.0,-24.4) | ( -9.0,-24.4) | ( +9.0,-34.4) | ( -9.0,-34.4) | (+54.0,-24.4) | (-16.0,-25.4)
    3 | 0.545 |   +0 | ( +9.0,-24.6) | ( -9.0,-24.6) | ( +9.0,-34.6) | ( -9.0,-34.6) | (+54.0,-24.6) | (-16.0,-25.6)
    4 | 0.727 |   +0 | ( +9.0,-24.8) | ( -9.0,-24.8) | ( +9.0,-34.8) | ( -9.0,-34.8) | (+54.0,-24.8) | (-16.0,-25.8)
    5 | 0.909 |   +0 | ( +9.0,-25.0) | ( -9.0,-25.0) | ( +9.0,-35.0) | ( -9.0,-35.0) | (+54.0,-25.0) | (-16.0,-26.0)
    6 | 1.091 |   +0 | ( +9.0,-24.8) | ( -9.0,-24.8) | ( +9.0,-34.8) | ( -9.0,-34.8) | (+54.0,-24.8) | (-16.0,-25.8)
    7 | 1.273 |   +0 | ( +9.0,-24.7) | ( -9.0,-24.7) | ( +9.0,-34.7) | ( -9.0,-34.7) | (+54.0,-24.7) | (-16.0,-25.7)
    8 | 1.455 |   +0 | ( +9.0,-24.5) | ( -9.0,-24.5) | ( +9.0,-34.5) | ( -9.0,-34.5) | (+54.0,-24.5) | (-16.0,-25.5)
    9 | 1.636 |   +0 | ( +9.0,-24.3) | ( -9.0,-24.3) | ( +9.0,-34.3) | ( -9.0,-34.3) | (+54.0,-24.3) | (-16.0,-25.3)
   10 | 1.818 |   +0 | ( +9.0,-24.1) | ( -9.0,-24.1) | ( +9.0,-34.1) | ( -9.0,-34.1) | (+54.0,-24.1) | (-16.0,-25.1)
   11 | 2.000 |   +0 | ( +9.0,-24.1) | ( -9.0,-24.1) | ( +9.0,-34.1) | ( -9.0,-34.1) | (+54.0,-24.1) | (-16.0,-25.1)

## Spec verifier: (no spec registered for this variant)
