# Pose trace — pythia / attack_geared
# anim=attack  length=0.550s

## Per-frame numeric pose (sprite-local coords; feet at (0,0), +x right, -y up)
frame | t     | wpn° | R_hand        | L_hand        | R_elbow       | L_elbow       | tip           | butt
------+-------+------+---------------+---------------+---------------+---------------+---------------+--------------
    0 | 0.000 | -135 | ( +9.0,-24.0) | ( +1.2,-31.8) | ( +9.0,-34.0) | ( -8.5,-34.0) | (-14.1,-47.1) | (+23.8, -7.7)
    1 | 0.050 | -131 | ( +9.0,-24.0) | ( +1.8,-32.4) | ( +9.0,-34.0) | ( -8.0,-34.0) | (-12.3,-48.8) | (+22.5, -6.6)
    2 | 0.100 | -120 | ( +9.0,-24.0) | ( +3.5,-33.5) | ( +9.0,-34.0) | ( -6.4,-34.3) | ( -7.3,-52.4) | (+19.1, -4.4)
    3 | 0.150 | -107 | ( +9.0,-24.0) | ( +5.8,-34.5) | ( +9.0,-34.0) | ( -4.2,-35.2) | ( -0.5,-55.3) | (+14.4, -2.7)
    4 | 0.200 |  -96 | ( +9.0,-24.0) | ( +7.9,-34.9) | ( +9.0,-34.0) | ( -1.9,-37.0) | ( +5.8,-56.5) | (+10.2, -2.0)
    5 | 0.250 |  -90 | ( +9.0,-24.0) | ( +8.9,-35.1) | ( +9.0,-34.0) | ( -0.1,-39.5) | ( +9.0,-56.7) | ( +8.0, -2.0)
    6 | 0.300 |  -92 | ( +9.0,-24.0) | ( +8.6,-35.0) | ( +9.0,-34.0) | ( -1.0,-38.1) | ( +7.7,-56.7) | ( +8.9, -2.0)
    7 | 0.350 | -100 | ( +9.0,-24.0) | ( +7.0,-34.8) | ( +9.0,-34.0) | ( -2.9,-36.1) | ( +3.1,-56.2) | (+12.0, -2.2)
    8 | 0.400 | -111 | ( +9.0,-24.0) | ( +5.0,-34.2) | ( +9.0,-34.0) | ( -5.0,-34.8) | ( -2.9,-54.5) | (+16.1, -3.1)
    9 | 0.450 | -123 | ( +9.0,-24.0) | ( +3.1,-33.3) | ( +9.0,-34.0) | ( -6.9,-34.2) | ( -8.6,-51.5) | (+20.0, -4.9)
   10 | 0.500 | -131 | ( +9.0,-24.0) | ( +1.7,-32.2) | ( +9.0,-34.0) | ( -8.1,-34.0) | (-12.6,-48.5) | (+22.8, -6.8)
   11 | 0.550 | -135 | ( +9.0,-24.0) | ( +1.2,-31.8) | ( +9.0,-34.0) | ( -8.5,-34.0) | (-14.1,-47.1) | (+23.8, -7.7)

## Spec verifier: (no spec registered for this variant)
